#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
19	1.82	3.2450081e+47	2.8168261e+47	6.5615848e+46	6.3944833e+46	5.9059147e+47	5.1266235e+47	1.1942084e+47	1.163796e+47
19	1.84	2.973171e+47	2.5823359e+47	6.0132059e+46	5.8606795e+46	5.4706346e+47	4.7514981e+47	1.1064299e+47	1.078365e+47
19	1.86	2.7243209e+47	2.3678187e+47	5.511325e+46	5.3721972e+46	5.0672369e+47	4.4041429e+47	1.0251065e+47	9.9922868e+46
19	1.88	2.4929872e+47	2.1671147e+47	5.0436473e+46	4.9164729e+46	4.6868159e+47	4.0741756e+47	9.4820569e+46	9.242969e+46
19	1.9	2.2799015e+47	1.9868778e+47	4.6169098e+46	4.5025549e+46	4.3318128e+47	3.7750679e+47	8.7721286e+46	8.5548543e+46
19	1.92	2.085932e+47	1.8174941e+47	4.2238117e+46	4.1190516e+46	4.0049894e+47	3.4895886e+47	8.1097184e+46	7.9085791e+46
19	1.94	1.9053373e+47	1.6620047e+47	3.8597537e+46	3.7647912e+46	3.6963545e+47	3.2242892e+47	7.4879221e+46	7.3036948e+46
19	1.96	1.7387649e+47	1.5192814e+47	3.5245684e+46	3.4389132e+46	3.4079793e+47	2.9777916e+47	6.908154e+46	6.7402698e+46
19	1.98	1.5874779e+47	1.3872597e+47	3.2180487e+46	3.1399119e+46	3.1432063e+47	2.7467742e+47	6.3717364e+46	6.2170256e+46
19	2	1.4474317e+47	1.266936e+47	2.9359536e+46	2.8655137e+46	2.8948635e+47	2.5338721e+47	5.8719073e+46	5.7310275e+46
19	2.02	1.3199597e+47	1.1561235e+47	2.678058e+46	2.6141196e+46	2.6663187e+47	2.3353694e+47	5.4096771e+46	5.2805215e+46
19	2.04	1.2024294e+47	1.0547026e+47	2.4409303e+46	2.3832788e+46	2.4529559e+47	2.1515934e+47	4.9794979e+46	4.8618888e+46
19	2.06	1.0936493e+47	9.6030957e+46	2.2210002e+46	2.1689633e+46	2.2529175e+47	1.9782377e+47	4.5752604e+46	4.4680644e+46
19	2.08	9.9600862e+46	8.7478904e+46	2.0228983e+46	1.9755914e+46	2.0716979e+47	1.8195612e+47	4.2076285e+46	4.1092301e+46
19	2.1	9.034546e+46	7.9571606e+46	1.836857e+46	1.7948112e+46	1.8972546e+47	1.6710037e+47	3.8573997e+46	3.7691035e+46
19	2.12	8.210606e+46	7.2337427e+46	1.6695358e+46	1.6314129e+46	1.7406485e+47	1.5335535e+47	3.5394158e+46	3.4585953e+46
19	2.14	7.4476018e+46	6.5753356e+46	1.5155943e+46	1.4815534e+46	1.5937868e+47	1.4071218e+47	3.2433719e+46	3.1705244e+46
19	2.16	6.743985e+46	5.9624097e+46	1.3731312e+46	1.3426296e+46	1.4567008e+47	1.2878805e+47	2.9659633e+46	2.9000798e+46
