#	profile	energy	nuELumNum	nuEBarLumNum	nuELumEnergy	nuEBarLumEnergy
19	2.85	2.5079317e+47	1.8134025e+44	7.1476053e+47	5.1681971e+44
19	2.86	2.4987166e+47	1.7899505e+44	7.1463295e+47	5.1192585e+44
19	2.87	2.4893383e+47	1.7685233e+44	7.1444009e+47	5.0756617e+44
19	2.88	2.4798258e+47	1.7463908e+44	7.1418983e+47	5.0296055e+44
19	2.89	2.4701459e+47	1.7248085e+44	7.1387215e+47	4.9846966e+44
19	2.9	2.460299e+47	1.7025312e+44	7.1348671e+47	4.9373405e+44
19	2.91	2.4502865e+47	1.6804968e+44	7.1303338e+47	4.8902458e+44
19	2.92	2.4401092e+47	1.6589573e+44	7.1251189e+47	4.8441553e+44
19	2.93	2.4297683e+47	1.6365401e+44	7.1192212e+47	4.7950624e+44
19	2.94	2.4192659e+47	1.6145464e+44	7.1126417e+47	4.7467663e+44
19	2.95	2.4086038e+47	1.5939179e+44	7.1053811e+47	4.7020579e+44
19	2.96	2.397784e+47	1.5730319e+44	7.0974407e+47	4.6561745e+44
19	2.97	2.3868086e+47	1.551816e+44	7.0888217e+47	4.6088934e+44
19	2.98	2.3756795e+47	1.5299107e+44	7.079525e+47	4.5591339e+44
19	2.99	2.3643987e+47	1.5080486e+44	7.0695521e+47	4.5090653e+44
19	3	2.352968e+47	1.4868699e+44	7.0589039e+47	4.4606096e+44
19	3.01	2.341389e+47	1.4650577e+44	7.0475808e+47	4.4098237e+44
19	3.02	2.329663e+47	1.4428453e+44	7.0355822e+47	4.3573929e+44
19	3.03	2.3177909e+47	1.4205029e+44	7.0229063e+47	4.3041239e+44
19	3.04	2.3057724e+47	1.3983727e+44	7.0095482e+47	4.2510531e+44
19	3.05	2.2936058e+47	1.3775473e+44	6.9954976e+47	4.2015194e+44
19	3.06	2.2812873e+47	1.3558872e+44	6.9807391e+47	4.1490148e+44
19	3.07	2.2687885e+47	1.3335532e+44	6.9651808e+47	4.0940083e+44
19	3.08	2.256101e+47	1.3123262e+44	6.9487911e+47	4.0419648e+44
19	3.09	2.2434295e+47	1.2919031e+44	6.9321971e+47	3.9919807e+44
19	3.1	2.2307145e+47	1.2707732e+44	6.9152151e+47	3.939397e+44
19	3.11	2.2178725e+47	1.249509e+44	6.8975836e+47	3.885973e+44
19	3.12	2.2049102e+47	1.2279881e+44	6.8793199e+47	3.8313228e+44
19	3.13	2.191885e+47	1.2069249e+44	6.8606002e+47	3.7776749e+44
19	3.14	2.1787238e+47	1.1857631e+44	6.8411928e+47	3.723296e+44
19	3.15	2.1654692e+47	1.1640534e+44	6.8212281e+47	3.6667683e+44
19	3.16	2.1521065e+47	1.1437792e+44	6.8006565e+47	3.6143424e+44
19	3.17	2.1386267e+47	1.1236632e+44	6.7794466e+47	3.5620122e+44
19	3.18	2.1250469e+47	1.1029811e+44	6.7576492e+47	3.5074799e+44
19	3.19	2.111343e+47	1.0834218e+44	6.7351841e+47	3.4561156e+44
19	3.2	2.0975721e+47	1.0633212e+44	6.7122306e+47	3.4026278e+44
19	3.21	2.0836691e+47	1.0450278e+44	6.6885778e+47	3.3545394e+44
19	3.22	2.0696615e+47	1.0267727e+44	6.6643099e+47	3.3062082e+44
19	3.23	2.0555523e+47	1.0092243e+44	6.6394338e+47	3.2597944e+44
19	3.24	2.0413282e+47	9.9255035e+43	6.6139035e+47	3.2158631e+44
19	3.25	2.0270066e+47	9.7734141e+43	6.5877715e+47	3.1763596e+44
